brand	model	size	min	max	color_code	strength	weight	price	date	type
Totem	Totem	0.5	11.7	18.9	bla	6	69	89.95	2/10/2022	cam
Totem	Totem	0.65	13.8	22.5	blu	8	75	89.95	2/10/2022	cam
Totem	Totem	0.8	17	27.7	yel	9	83	89.95	2/10/2022	cam
Totem	Totem	1	20.9	34.2	pur	10	95	89.95	2/10/2022	cam
Totem	Totem	1.25	25.7	42.3	gre	13	109	89.95	2/10/2022	cam
Totem	Totem	1.5	31.6	52.2	red	13	132	89.95	2/10/2022	cam
Totem	Totem	1.8	39.7	64.2	org	13	144	89.95	2/10/2022	cam
Black Diamond	Camelot C4	0.3	13.8	23.4	blu	8	69.8	74.95	2/10/2022	cam
Black Diamond	Camelot C4	0.4	15.5	26.7	bla	9	77.5	74.95	2/10/2022	cam
Black Diamond	Camelot C4	0.5	19.6	33.5	pur	12	93	74.95	2/10/2022	cam
Black Diamond	Camelot C4	0.75	23.9	41.2	gre	14	107.5	74.95	2/10/2022	cam
Black Diamond	Camelot C4	1	30.2	52.1	red	14	123.9	79.99	2/10/2022	cam
Black Diamond	Camelot C4	2	37.2	64.9	yel	14	140.3	79.99	2/10/2022	cam
Black Diamond	Camelot C4	3	50.7	87.9	blu	14	181.1	79.99	2/10/2022	cam
Black Diamond	Camelot C4	4	66	114.7	bla	14	257.8	99.95	2/10/2022	cam
Black Diamond	Camelot C4	5	85.4	148.5	pur	14	348.1	119.95	2/10/2022	cam
Black Diamond	Camelot C4	6	114.1	195	gre	14	529.9	139.95	2/10/2022	cam
Wild Country	Friend	0.1	8.5	13.2	red	5	51	79.95	2/10/2022	cam
Wild Country	Friend	0.2	10.4	15.7	yel	6	58.1	79.95	2/10/2022	cam
Wild Country	Friend	0.3	13.8	22.3	blu	8	68.6	79.95	2/10/2022	cam
Wild Country	Friend	0.4	15.8	25.9	bla	9	70.6	79.95	2/10/2022	cam
Wild Country	Friend	0.5	20.2	32.9	pur	9	76.9	79.95	2/10/2022	cam
